iter	Passed	Remaining
0	4	2342
1	9	2358
2	12	2012
3	14	1795
4	16	1661
5	19	1584
6	23	1632
7	25	1591
8	29	1607
9	32	1573
10	34	1535
11	36	1502
12	40	1527
13	44	1538
14	47	1545
15	50	1526
16	53	1508
17	58	1559
18	60	1536
19	63	1513
20	65	1494
21	72	1577
22	79	1653
23	84	1667
24	93	1769
25	97	1777
26	100	1769
27	106	1791
28	108	1767
29	111	1742
30	113	1722
31	116	1699
32	120	1705
33	123	1691
34	126	1676
35	129	1669
36	132	1652
37	226	2756
38	256	3027
39	302	3475
40	306	3428
41	311	3396
42	319	3400
43	332	3441
44	343	3477
45	354	3496
46	381	3681
47	400	3772
48	418	3848
49	425	3825
50	435	3832
51	441	3804
52	451	3811
53	459	3797
54	469	3794
55	476	3779
56	482	3749
57	487	3713
58	493	3685
59	501	3679
60	512	3687
61	516	3651
62	520	3613
63	527	3594
64	532	3566
65	536	3529
66	542	3505
67	547	3476
68	550	3441
69	554	3406
70	561	3395
71	566	3370
72	573	3356
73	578	3331
74	582	3302
75	589	3290
76	594	3268
77	598	3238
78	602	3209
79	607	3187
80	610	3158
81	615	3140
82	624	3135
83	633	3135
84	642	3136
85	646	3111
86	650	3085
87	654	3065
88	657	3038
89	661	3011
90	664	2985
91	668	2962
92	672	2941
93	675	2917
94	678	2892
95	682	2871
96	687	2857
97	692	2840
98	695	2815
99	697	2789
100	700	2767
101	703	2744
102	705	2720
103	708	2697
104	711	2676
105	714	2654
106	718	2639
107	721	2620
108	724	2598
109	727	2580
110	730	2561
111	736	2551
112	739	2533
113	742	2513
114	744	2493
115	747	2473
116	751	2458
117	753	2439
118	759	2430
119	766	2426
120	769	2410
121	772	2392
122	774	2374
123	777	2356
124	779	2338
125	783	2326
126	826	2426
127	839	2440
128	851	2447
129	856	2436
130	859	2421
131	868	2421
132	872	2406
133	875	2391
134	880	2381
135	886	2372
136	890	2359
137	894	2347
138	900	2337
139	904	2324
140	907	2311
141	916	2311
142	920	2297
143	923	2283
144	929	2275
145	933	2262
146	936	2248
147	939	2234
148	944	2225
149	949	2214
150	952	2201
151	955	2188
152	961	2180
153	965	2169
154	968	2156
155	972	2143
156	978	2137
157	981	2125
158	984	2111
159	987	2097
160	989	2083
161	995	2076
162	999	2065
163	1003	2055
164	1009	2049
165	1013	2039
166	1016	2027
167	1020	2016
168	1028	2015
169	1032	2004
170	1035	1991
171	1038	1979
172	1043	1972
173	1046	1960
174	1049	1949
175	1052	1937
176	1057	1930
177	1061	1919
178	1063	1907
179	1066	1895
180	1068	1883
181	1074	1877
182	1077	1867
183	1080	1855
184	1082	1844
185	1085	1832
186	1093	1829
187	1096	1819
188	1098	1808
189	1101	1796
190	1107	1791
191	1110	1780
192	1112	1769
193	1114	1758
194	1117	1747
195	1124	1743
196	1127	1733
197	1129	1722
198	1131	1711
199	1138	1707
200	1141	1698
201	1144	1688
202	1146	1677
203	1149	1667
204	1155	1662
205	1158	1652
206	1160	1642
207	1162	1632
208	1165	1622
209	1176	1625
210	1180	1616
211	1186	1612
212	1190	1603
213	1193	1594
214	1197	1587
215	1203	1581
216	1205	1572
217	1208	1563
218	1210	1553
219	1213	1544
220	1217	1536
221	1220	1528
222	1223	1519
223	1225	1510
224	1228	1501
225	1231	1492
226	1234	1485
227	1237	1476
228	1239	1467
229	1242	1458
230	1244	1449
231	1248	1442
232	1251	1433
233	1253	1425
234	1256	1416
235	1259	1408
236	1261	1399
237	1265	1392
238	1268	1385
239	1271	1376
240	1273	1368
241	1276	1360
242	1278	1352
243	1281	1344
244	1284	1336
245	1286	1328
246	1292	1323
247	1296	1316
248	1300	1310
249	1305	1305
250	1310	1299
251	1317	1296
252	1321	1290
253	1324	1283
254	1328	1276
255	1333	1270
256	1336	1263
257	1339	1256
258	1343	1250
259	1347	1244
260	1351	1237
261	1354	1230
262	1357	1223
263	1361	1217
264	1365	1211
265	1369	1204
266	1371	1197
267	1374	1189
268	1377	1183
269	1380	1175
270	1382	1168
271	1385	1161
272	1387	1153
273	1390	1146
274	1394	1140
275	1397	1133
276	1399	1126
277	1402	1119
278	1404	1112
279	1406	1105
280	1410	1099
281	1412	1092
282	1415	1085
283	1417	1078
284	1419	1071
285	1422	1064
286	1425	1058
287	1428	1051
288	1430	1044
289	1432	1037
290	1435	1030
291	1437	1024
292	1442	1019
293	1445	1012
294	1447	1005
295	1449	999
296	1452	992
297	1454	986
298	1458	980
299	1460	973
300	1463	967
301	1466	961
302	1472	957
303	1475	951
304	1478	944
305	1480	938
306	1482	932
307	1485	926
308	1488	920
309	1492	914
310	1494	908
311	1496	902
312	1499	895
313	1501	889
314	1505	884
315	1507	877
316	1510	871
317	1512	865
318	1515	859
319	1517	853
320	1520	847
321	1523	842
322	1525	836
323	1528	830
324	1530	824
325	1533	818
326	1535	812
327	1539	807
328	1541	801
329	1544	795
330	1546	789
331	1549	784
332	1552	778
333	1555	772
334	1557	767
335	1566	764
336	1571	759
337	1573	754
338	1577	749
339	1579	743
340	1581	737
341	1586	732
342	1588	727
343	1591	721
344	1594	716
345	1596	710
346	1598	705
347	1602	699
348	1604	694
349	1607	688
350	1609	683
351	1612	677
352	1614	672
353	1617	667
354	1620	662
355	1623	656
356	1626	651
357	1628	645
358	1630	640
359	1634	635
360	1637	630
361	1639	625
362	1642	619
363	1644	614
364	1647	609
365	1650	604
366	1653	599
367	1655	593
368	1658	588
369	1660	583
370	1662	578
371	1666	573
372	1669	568
373	1671	563
374	1673	557
375	1676	552
376	1678	547
377	1683	543
378	1686	538
379	1688	533
380	1691	528
381	1693	523
382	1696	518
383	1700	513
384	1702	508
385	1705	503
386	1707	498
387	1710	493
388	1713	488
389	1716	484
390	1718	479
391	1721	474
392	1723	469
393	1726	464
394	1731	460
395	1734	455
396	1737	450
397	1739	445
398	1742	441
399	1746	436
400	1749	431
401	1752	427
402	1754	422
403	1756	417
404	1759	412
405	1763	408
406	1765	403
407	1768	398
408	1771	394
409	1773	389
410	1778	385
411	1781	380
412	1783	375
413	1786	371
414	1789	366
415	1792	361
416	1795	357
417	1797	352
418	1800	347
419	1802	343
420	1804	338
421	1807	334
422	1810	329
423	1813	324
424	1815	320
425	1818	315
426	1820	311
427	1823	306
428	1827	302
429	1829	297
430	1832	293
431	1835	288
432	1837	284
433	1840	279
434	1843	275
435	1845	270
436	1848	266
437	1850	261
438	1853	257
439	1855	253
440	1858	248
441	1861	244
442	1863	239
443	1865	235
444	1868	230
445	1870	226
446	1874	222
447	1877	217
448	1879	213
449	1882	209
450	1884	204
451	1887	200
452	1890	196
453	1892	191
454	1895	187
455	1898	183
