,feature,importance
24,volatility_60,122
27,price_vs_sma200,115
3,SMA_200,106
8,MACD_signal,87
17,volume_sma,87
19,OBV,83
1,SMA_20,82
20,ROC_5,80
26,price_vs_sma50,76
13,BB_width,74
23,volatility_20,68
9,MACD_diff,68
16,ATR_percent,68
2,SMA_50,65
10,BB_upper,57
15,ATR,52
12,BB_lower,50
7,MACD,49
14,BB_position,48
21,ROC_10,47
22,ROC_20,47
6,RSI,47
0,volume,40
18,volume_ratio,39
4,EMA_12,36
25,price_vs_sma20,24
5,EMA_26,23
11,BB_middle,0
28,PE_ratio,0
29,forward_PE,0
30,earnings_yield,0
31,earnings_growth,0
32,dividend_yield,0
33,payout_ratio,0
