model,mse,rmse,mae,r2,direction_accuracy,sharpe_ratio
XGBoost_Tuned,0.0003816191584950459,0.019535075082912936,0.014374648335881708,-0.005448288792408329,0.6063569682151589,24.311159133911133
ARIMA,0.00039477923822610003,0.019869052272972157,0.014745142020590915,-0.04012102298673148,0.3973105134474328,-0.003432584775456141
Lasso,0.00040331360961023564,0.020082669384577232,0.015156373844749663,-0.06260644834623807,0.41075794621026895,-1.1475501735679812
Prophet,0.00040954329661400447,0.020237176102757135,0.014993068115399204,-0.07901974416281332,0.5134474327628362,-0.2128853600828095
LightGBM_Tuned,0.0004297435588539997,0.020730257086056594,0.015881143582442022,-0.1322411788058142,0.4242053789731051,-0.6742719558785738
Ridge,0.0004906520222575409,0.022150666406623998,0.017090171586495825,-0.2927161155033662,0.40464547677261614,-0.3722775932347645
CatBoost,0.0009936163585165796,0.031521680769219455,0.02637569040017346,-1.6178713650709131,0.3801955990220049,-1.5004966293406818
ExtraTrees,0.0011939455545188437,0.034553517252500415,0.029572283564413788,-2.1456767512311847,0.4058679706601467,-1.5744707082779803
LightGBM,0.0013363700261127944,0.03655639514657859,0.03126590936470707,-2.5209211226380766,0.41442542787286063,-1.338665183983724
RandomForest,0.0014403466924055885,0.037951899720640975,0.03278214639318815,-2.794867435005374,0.4278728606356968,-1.433273186007279
XGBoost,0.0014437033504948829,0.03799609651654868,0.032372424484885955,-2.803711189457461,0.37286063569682154,-1.2216869592666626
