fold,model,rmse,direction_accuracy
1,catboost,0.017050262611867272,0.5080763582966226
1,extratrees,0.018005036939891184,0.42143906020558003
1,lasso,0.02266975549531969,0.3832599118942731
1,lightgbm,0.019232084261854836,0.4552129221732746
1,randomforest,0.02097010743478938,0.4008810572687225
1,ridge,0.0781823688613518,0.4052863436123348
1,xgboost,0.01750034179554148,0.5139500734214391
2,catboost,0.019711983522165057,0.4566813509544787
2,extratrees,0.02330377346866107,0.4566813509544787
2,lasso,0.017373815506435405,0.5095447870778267
2,lightgbm,0.022471008165954254,0.44640234948604995
2,randomforest,0.020364022643274353,0.461086637298091
2,ridge,0.019721953138894032,0.4522760646108664
2,xgboost,0.021488568777888357,0.47577092511013214
3,catboost,0.034706369541751395,0.44933920704845814
3,extratrees,0.042051533254437126,0.42290748898678415
3,lasso,0.028867358447717175,0.6226138032305433
3,lightgbm,0.03454321985600293,0.4199706314243759
3,randomforest,0.04965301137222728,0.42731277533039647
3,ridge,0.030878532639532302,0.4948604992657856
3,xgboost,0.05087534905533802,0.4419970631424376
4,catboost,0.03739291937041844,0.4185022026431718
4,extratrees,0.040006794033218766,0.4067547723935389
4,lasso,0.02436621787545248,0.580029368575624
4,lightgbm,0.026949601191970846,0.4801762114537445
4,randomforest,0.03710707434763158,0.41409691629955947
4,ridge,0.026737512783934884,0.4390602055800294
4,xgboost,0.030454686320251546,0.4331864904552129
5,catboost,0.034078338654694604,0.3920704845814978
5,extratrees,0.03490296644839425,0.35829662261380324
5,lasso,0.01991217290442671,0.5991189427312775
5,lightgbm,0.03908269490988808,0.3788546255506608
5,randomforest,0.04070608923489025,0.3788546255506608
5,ridge,0.022644360786389133,0.40381791483113066
5,xgboost,0.0403211055683282,0.36123348017621143
