iter	Passed	Remaining
0	5	588
1	11	572
2	18	588
3	23	567
4	29	553
5	35	558
6	41	547
7	47	547
8	53	536
9	58	527
10	65	527
11	70	520
12	76	509
13	82	508
14	88	500
15	93	491
16	100	489
17	106	486
18	114	487
19	120	480
20	125	471
21	132	471
22	140	470
23	146	464
24	152	458
25	158	450
26	164	445
27	170	437
28	175	429
29	183	428
30	189	421
31	197	420
32	205	418
33	216	420
34	226	421
35	235	417
36	244	416
37	253	413
38	263	411
39	270	405
40	280	404
41	290	400
42	300	398
43	309	393
44	315	385
45	321	376
46	329	371
47	337	365
48	347	361
49	355	355
50	362	348
51	368	339
52	375	333
53	381	324
54	388	318
55	396	311
56	403	304
57	412	298
58	418	290
59	425	283
60	430	275
61	435	267
62	442	259
63	447	251
64	453	244
65	459	236
66	465	229
67	470	221
68	477	214
69	482	206
70	489	199
71	495	192
72	500	185
73	507	178
74	512	170
75	518	163
76	525	156
77	530	149
78	537	143
79	543	135
80	548	128
81	555	121
82	560	114
83	566	107
84	572	101
85	578	94
86	583	87
87	590	80
88	595	73
89	601	66
90	607	60
91	613	53
92	619	46
93	624	39
94	630	33
95	637	26
96	643	19
97	648	13
98	655	6
99	660	0
