iter	Passed	Remaining
0	6	611
1	11	570
2	18	588
3	23	568
4	29	551
5	35	551
6	40	538
7	45	526
8	52	529
9	57	519
10	64	522
11	70	513
12	75	505
13	83	512
14	88	503
15	94	493
16	100	491
17	106	486
18	113	482
19	118	474
20	124	466
21	130	462
22	135	453
23	141	446
24	151	454
25	157	449
26	167	451
27	177	457
28	182	447
29	193	450
30	199	445
31	207	441
32	218	444
33	224	435
34	230	428
35	239	425
36	248	422
37	255	416
38	265	416
39	271	406
40	278	400
41	287	396
42	294	390
43	303	386
44	310	380
45	319	375
46	326	368
47	337	365
48	345	359
49	352	352
50	359	345
51	368	340
52	375	333
53	384	327
54	391	320
55	400	314
56	407	307
57	416	301
58	423	294
59	431	287
60	438	280
61	446	273
62	454	267
63	460	259
64	467	251
65	474	244
66	479	236
67	484	228
68	491	220
69	496	212
70	503	205
71	508	197
72	514	190
73	520	182
74	525	175
75	531	167
76	538	160
77	543	153
78	548	145
79	555	138
80	560	131
81	565	124
82	572	117
83	577	110
84	582	102
85	589	95
86	594	88
87	601	81
88	606	74
89	611	67
90	617	61
91	623	54
92	628	47
93	635	40
94	640	33
95	646	26
96	652	20
97	658	13
98	663	6
99	670	0
