iter	Passed	Remaining
0	10	1041
1	16	819
2	24	807
3	32	775
4	43	830
5	57	897
6	65	876
7	76	874
8	82	833
9	91	823
10	97	792
11	106	778
12	112	750
13	120	743
14	130	737
15	141	741
16	147	719
17	157	717
18	164	699
19	172	688
20	179	675
21	198	702
22	208	699
23	215	681
24	223	669
25	228	651
26	239	646
27	246	633
28	260	636
29	269	629
30	277	617
31	287	611
32	294	598
33	307	595
34	321	597
35	337	599
36	343	585
37	356	581
38	364	570
39	371	557
40	377	543
41	389	538
42	399	529
43	406	517
44	415	508
45	422	496
46	431	486
47	439	475
48	449	468
49	458	458
50	469	451
51	475	438
52	483	428
53	489	416
54	498	407
55	504	396
56	513	387
57	520	377
58	528	367
59	534	356
60	539	345
61	549	336
62	556	326
63	565	318
64	572	308
65	584	301
66	590	290
67	599	282
68	605	272
69	615	263
70	621	253
71	630	245
72	636	235
73	648	227
74	655	218
75	666	210
76	672	200
77	680	191
78	686	182
79	694	173
80	700	164
81	709	155
82	718	147
83	728	138
84	734	129
85	743	121
86	751	112
87	758	103
88	767	94
89	782	86
90	792	78
91	799	69
92	808	60
93	814	51
94	819	43
95	829	34
96	835	25
97	847	17
98	861	8
99	874	0
