,feature,importance
10,BB_upper,0.065795355
3,SMA_200,0.056332566
27,price_vs_sma200,0.05370161
12,BB_lower,0.049918976
2,SMA_50,0.04566138
24,volatility_60,0.045167074
13,BB_width,0.04498937
26,price_vs_sma50,0.0414446
4,EMA_12,0.03977967
8,MACD_signal,0.03946223
19,OBV,0.03942656
17,volume_sma,0.03898211
9,MACD_diff,0.03865287
5,EMA_26,0.03862836
15,ATR,0.036201842
23,volatility_20,0.03526321
16,ATR_percent,0.034444455
18,volume_ratio,0.034117937
1,SMA_20,0.03372291
21,ROC_10,0.030043073
20,ROC_5,0.029669426
7,MACD,0.029066749
25,price_vs_sma20,0.027847871
6,RSI,0.022781838
14,BB_position,0.022136087
22,ROC_20,0.018914998
0,volume,0.007846841
11,BB_middle,0.0
28,PE_ratio,0.0
29,forward_PE,0.0
30,earnings_yield,0.0
31,earnings_growth,0.0
32,dividend_yield,0.0
33,payout_ratio,0.0
