,feature,importance
27,price_vs_sma200,10.521509205394729
3,SMA_200,6.865703165663868
8,MACD_signal,6.355790324074017
24,volatility_60,5.904107109758698
13,BB_width,5.003863918839401
17,volume_sma,4.64358193869201
20,ROC_5,4.252804163868217
23,volatility_20,4.095029895003557
16,ATR_percent,3.967870578256457
2,SMA_50,3.844588305333791
1,SMA_20,3.757479883708893
5,EMA_26,3.0568967663536295
9,MACD_diff,3.049720983906009
7,MACD,2.997368622776701
19,OBV,2.9052209774617297
10,BB_upper,2.8685206345116545
26,price_vs_sma50,2.7410796215035127
4,EMA_12,2.644735675967035
12,BB_lower,2.558032536393824
11,BB_middle,2.52202347999221
25,price_vs_sma20,2.3820512561643485
6,RSI,2.3287879832730343
14,BB_position,2.254652754703663
22,ROC_20,2.0700234277756167
21,ROC_10,1.8365264014754912
15,ATR,1.6750272085489204
0,volume,1.52482353796235
18,volume_ratio,1.372179642636607
28,PE_ratio,0.0
29,forward_PE,0.0
30,earnings_yield,0.0
31,earnings_growth,0.0
32,dividend_yield,0.0
33,payout_ratio,0.0
