iter	Passed	Remaining
0	8	4221
1	14	3541
2	19	3269
3	27	3458
4	31	3152
5	39	3279
6	43	3087
7	47	2931
8	57	3116
9	61	3024
10	67	3020
11	72	2958
12	76	2862
13	81	2836
14	88	2845
15	92	2796
16	96	2747
17	107	2873
18	111	2818
19	122	2950
20	136	3112
21	147	3206
22	156	3252
23	160	3188
24	170	3234
25	174	3180
26	185	3245
27	189	3188
28	194	3153
29	200	3147
30	204	3096
31	208	3045
32	215	3053
33	219	3002
34	222	2960
35	225	2912
36	232	2910
37	235	2864
38	238	2821
39	241	2782
40	246	2764
41	250	2731
42	254	2701
43	257	2671
44	263	2660
45	266	2628
46	269	2601
47	272	2568
48	276	2545
49	279	2515
50	282	2484
51	284	2452
52	286	2420
53	289	2390
54	293	2375
55	296	2354
56	299	2330
57	302	2305
58	304	2278
59	308	2263
60	312	2247
61	316	2238
62	320	2222
63	328	2238
64	332	2222
65	335	2204
66	338	2190
67	346	2203
68	351	2193
69	361	2219
70	364	2204
71	367	2186
72	370	2169
73	378	2178
74	382	2168
75	386	2155
76	394	2168
77	398	2156
78	404	2156
79	412	2163
80	416	2152
81	420	2141
82	428	2154
83	432	2139
84	435	2127
85	442	2132
86	449	2132
87	454	2129
88	461	2130
89	465	2122
90	470	2113
91	475	2107
92	477	2091
93	480	2077
94	484	2063
95	489	2061
96	495	2058
97	498	2045
98	503	2040
99	508	2034
100	512	2025
101	517	2021
102	522	2013
103	525	2001
104	528	1989
105	532	1979
106	539	1981
107	542	1969
108	545	1957
109	550	1950
110	554	1943
111	559	1936
112	562	1925
113	567	1920
114	573	1918
115	578	1915
116	583	1911
117	589	1908
118	594	1902
119	599	1899
120	604	1892
121	609	1888
122	612	1876
123	617	1871
124	620	1861
125	625	1855
126	634	1864
127	640	1862
128	647	1861
129	654	1862
130	661	1862
131	667	1859
132	671	1852
133	678	1853
134	682	1846
135	687	1839
136	693	1836
137	699	1834
138	706	1834
139	711	1830
140	715	1821
141	719	1812
142	722	1804
143	728	1800
144	731	1791
145	734	1780
146	737	1770
147	741	1763
148	744	1754
149	748	1745
150	751	1736
151	754	1727
152	762	1728
153	765	1719
154	768	1711
155	773	1706
156	777	1697
157	780	1689
158	783	1680
159	786	1671
160	792	1667
161	795	1659
162	798	1650
163	801	1642
164	806	1638
165	809	1629
166	813	1621
167	816	1612
168	819	1604
169	824	1601
170	829	1596
171	833	1589
172	838	1585
173	842	1578
174	845	1570
175	849	1563
176	853	1558
177	859	1553
178	862	1546
179	866	1539
180	870	1534
181	873	1526
182	877	1519
183	881	1514
184	889	1514
185	893	1508
186	897	1501
187	900	1494
188	904	1488
189	907	1481
190	911	1475
191	915	1468
192	921	1465
193	924	1458
194	927	1450
195	930	1443
196	935	1439
197	938	1432
198	942	1425
199	945	1418
200	949	1412
201	953	1406
202	956	1399
203	959	1392
204	963	1385
205	969	1383
206	973	1377
207	976	1370
208	979	1363
209	985	1360
210	988	1353
211	991	1347
212	994	1339
213	999	1336
214	1003	1329
215	1006	1322
216	1009	1316
217	1013	1310
218	1018	1306
219	1021	1299
220	1024	1293
221	1027	1286
222	1033	1283
223	1036	1276
224	1038	1269
225	1042	1264
226	1049	1261
227	1053	1256
228	1056	1249
229	1059	1243
230	1064	1239
231	1068	1234
232	1071	1228
233	1074	1221
234	1079	1217
235	1082	1211
236	1085	1204
237	1087	1197
238	1090	1190
239	1092	1183
240	1099	1181
241	1103	1176
242	1109	1173
243	1113	1168
244	1164	1212
245	1173	1211
246	1181	1210
247	1192	1211
248	1202	1211
249	1210	1210
250	1217	1207
251	1225	1205
252	1235	1205
253	1257	1218
254	1265	1216
255	1272	1212
256	1281	1211
257	1294	1213
258	1300	1210
259	1308	1208
260	1312	1201
261	1315	1194
262	1320	1189
263	1324	1183
264	1327	1177
265	1331	1171
266	1335	1165
267	1339	1159
268	1343	1153
269	1346	1146
270	1349	1140
271	1356	1137
272	1359	1130
273	1362	1124
274	1366	1117
275	1371	1113
276	1374	1106
277	1377	1100
278	1389	1100
279	1440	1132
280	1490	1161
281	1507	1165
282	1523	1168
283	1533	1166
284	1546	1166
285	1570	1175
286	1615	1199
287	1633	1202
288	1646	1202
289	1655	1198
290	1670	1199
291	1673	1192
292	1679	1186
293	1682	1179
294	1686	1171
295	1692	1166
296	1698	1160
297	1702	1153
298	1709	1148
299	1712	1141
300	1716	1135
301	1723	1130
302	1728	1123
303	1731	1116
304	1735	1109
305	1744	1105
306	1747	1098
307	1751	1091
308	1759	1087
309	1762	1080
310	1766	1073
311	1772	1068
312	1777	1062
313	1781	1055
314	1787	1049
315	1792	1043
316	1796	1036
317	1800	1030
318	1806	1025
319	1810	1018
320	1814	1011
321	1819	1005
322	1823	999
323	1826	992
324	1830	985
325	1835	979
326	1839	972
327	1842	966
328	1845	959
329	1848	952
330	1856	948
331	1859	941
332	1862	934
333	1867	928
334	1871	921
335	1876	915
336	1879	909
337	1885	903
338	1888	897
339	1892	890
340	1895	883
341	1900	878
342	1904	871
343	1907	865
344	1911	858
345	1916	852
346	1919	846
347	1923	840
348	1926	833
349	1931	827
350	1935	821
351	1939	815
352	1944	809
353	1951	804
354	1954	798
355	1957	791
356	1960	785
357	1966	780
358	1970	773
359	1974	768
360	1980	762
361	1987	757
362	1992	751
363	1997	746
364	2006	742
365	2010	735
366	2018	731
367	2022	725
368	2025	719
369	2031	713
370	2036	708
371	2040	701
372	2050	698
373	2054	692
374	2058	686
375	2064	680
376	2072	676
377	2079	671
378	2088	666
379	2091	660
380	2097	655
381	2102	649
382	2105	643
383	2112	638
384	2118	632
385	2124	627
386	2128	621
387	2136	616
388	2142	611
389	2149	606
390	2153	600
391	2159	594
392	2166	589
393	2173	584
394	2179	579
395	2184	573
396	2189	568
397	2198	563
398	2201	557
399	2208	552
400	2214	546
401	2218	540
402	2225	535
403	2230	529
404	2233	523
405	2239	518
406	2243	512
407	2246	506
408	2249	500
409	2255	495
410	2258	489
411	2261	483
412	2264	477
413	2269	471
414	2272	465
415	2275	459
416	2278	453
417	2281	447
418	2285	441
419	2289	436
420	2291	430
421	2294	424
422	2297	418
423	2304	412
424	2306	407
425	2309	401
426	2311	395
427	2314	389
428	2317	383
429	2321	377
430	2323	372
431	2330	366
432	2336	361
433	2340	355
434	2343	350
435	2346	344
436	2352	339
437	2356	333
438	2359	327
439	2362	322
440	2367	316
441	2370	311
442	2374	305
443	2377	299
444	2382	294
445	2387	289
446	2390	283
447	2393	277
448	2397	272
449	2401	266
450	2404	261
451	2407	255
452	2410	250
453	2415	244
454	2419	239
455	2422	233
456	2425	228
457	2430	222
458	2434	217
459	2437	211
460	2440	206
461	2443	200
462	2448	195
463	2451	190
464	2454	184
465	2457	179
466	2462	174
467	2466	168
468	2469	163
469	2473	157
470	2476	152
471	2480	147
472	2483	141
473	2487	136
474	2491	131
475	2499	126
476	2503	120
477	2506	115
478	2513	110
479	2518	104
480	2523	99
481	2532	94
482	2536	89
483	2539	83
484	2544	78
485	2547	73
486	2554	68
487	2563	63
488	2567	57
489	2570	52
490	2576	47
491	2580	41
492	2586	36
493	2592	31
494	2602	26
495	2613	21
496	2619	15
497	2630	10
498	2634	5
499	2642	0
